"nodeA","nodeB","nodeC","rel1","rel2","rel3"
"biochimie","chimie","laboratoire","6","15","15"
"physicien","chercheur","laboratoire","6","15","15"
"chimie","recherche","laboratoire","6","15","15"
"biologie","recherche","laboratoire","42","15","15"
"recherche","biologie","laboratoire","","15","15"
"biochimie","biologie","laboratoire","6","15","15"
"recherche","biologie","laboratoire","","15","9"
"chimie","recherche","laboratoire","6","9","15"
"biologie","recherche","laboratoire","42","9","15"
"physicien","chercheur","labo","6","15","15"
"biologie","recherche","labo","42","15","15"
"chimie","recherche","labo","6","15","15"
"recherche","biologie","labo","","15","15"
"biochimie","biologie","labo","6","15","15"
"biochimie","chimie","labo","6","15","15"
"mathématiques","quatres","arithmétique","","42","9"
"Mathématiques","quatres","arithmétique","","42","9"
"mathématiques","quatre","arithmétique","","42","9"
"Mathématiques","quatre","arithmétique","","42","9"
"quatres","mathématiques","arithmétique","42","9","42"
"quatre","mathématiques","arithmétique","42","9","42"
"quatres","Mathématiques","arithmétique","42","9","42"
"quatre","Mathématiques","arithmétique","42","9","42"
"triangle","mathématique","arithmétique","6","6","6"
"chimie organique","science","chimie","6","15","6"
"vaccin","science","chimie","6","15","6"
"électronique","science","chimie","6","15","6"
"biochimie","science","chimie","15","15","6"
"biochimie","science","chimie","6","15","6"
"physique","science","chimie","6","15","9"
"étudier","science","chimie","14","15","14"
"chimie organique","=science=","chimie","6","6","6"
"vaccin","=science=","chimie","6","6","6"
"électronique","=science=","chimie","6","6","6"
"biochimie","=science=","chimie","15","6","6"
"biochimie","=science=","chimie","6","6","6"
"physique","=science=","chimie","6","6","9"
"étudier","=science=","chimie","14","6","14"
"chimie organique","science","chimie","6","6","6"
"vaccin","science","chimie","6","6","6"
"électronique","science","chimie","6","6","6"
"biochimie","science","chimie","15","6","6"
"biochimie","science","chimie","6","6","6"
"physique","science","chimie","6","6","9"
"étudier","science","chimie","14","6","14"
"chimie organique","chimie du carbone","chimie","6","6","6"
"chimie organique physique","chimie organique","chimie","6","6","6"
"=addict=","biochimie","chimie","42","6","42"
"être dépendant","biochimie","chimie","42","6","42"
"addict","biochimie","chimie","42","6","42"
"être addict","biochimie","chimie","42","6","42"
"accro","biochimie","chimie","42","6","42"
"être accro","biochimie","chimie","42","6","42"
"chimie organique","Science","chimie","6","6","6"
"vaccin","Science","chimie","6","6","6"
"électronique","Science","chimie","6","6","6"
"biochimie","Science","chimie","15","6","6"
"biochimie","Science","chimie","6","6","6"
"physique","Science","chimie","6","6","9"
"étudier","Science","chimie","14","6","14"
"chimie organique","science","chimie","6","9","6"
"vaccin","science","chimie","6","9","6"
"électronique","science","chimie","6","9","6"
"biochimie","science","chimie","15","9","6"
"biochimie","science","chimie","6","9","6"
"physique","science","chimie","6","9","9"
"étudier","science","chimie","14","9","14"
"science","physique","chimie","6","9","15"
"=californium=","physique","chimie","6","9","6"
"cage","physique","chimie","6","9","6"
"thermochimie","physique","chimie","6","9","6"
"=niobium=","physique","chimie","6","9","6"
"science","physique","chimie","6","9","6"
"eudiométrie","physique","chimie","6","9","6"
"=lawrencium=","physique","chimie","6","9","6"
"vaccin","physique","chimie","6","9","6"
"électronique","physique","chimie","6","9","6"
"nobélium","physique","chimie","6","9","6"
"lawrencium","physique","chimie","6","9","6"
"vanadium","physique","chimie","6","9","6"
"=protactinium=","physique","chimie","6","9","6"
"phosphore","physique","chimie","6","9","6"
"hahnium","physique","chimie","6","9","6"
"électrochimie","physique","chimie","6","9","6"
"fermium","physique","chimie","6","9","6"
"atomique","physique","chimie","6","9","6"
"berkélium","physique","chimie","6","9","6"
"=fermium=","physique","chimie","6","9","6"
"niobium","physique","chimie","6","9","6"
"=vanadium=","physique","chimie","6","9","6"
"protactinium","physique","chimie","6","9","6"
"=nobelium=","physique","chimie","6","9","6"
"californium","physique","chimie","6","9","6"
"science","physique","chimie","6","9","9"
"sciences","physique","chimie","9","9","9"
"étudier","physique","chimie","14","9","14"
"biochimie","labo","chimie","15","9","6"
"étudier","sciences","chimie","14","9","14"
"biochimie","laboratoire","chimie","15","9","6"
"biochimie","=addict=","chimie","","42","6"
"biochimie","être dépendant","chimie","","42","6"
"biochimie","addict","chimie","","42","6"
"biochimie","être addict","chimie","","42","6"
"biochimie","accro","chimie","","42","6"
"biochimie","être accro","chimie","","42","6"
"bacille","pathogène","maladie","17","",""
"bacille","=microorganism=","maladie","6","",""
"SIDA","=microorganism=","maladie","6","","6"
"SIDA","tailler une pipe","maladie","42","","6"
"syndrome d'immunodéficience acquise","tailler une pipe","maladie","42","","6"
"sida","tailler une pipe","maladie","42","","6"
"SIDA","virus","maladie","6","","6"
"syndrome d'immunodéficience acquise","virus","maladie","6","","6"
"sida","virus","maladie","6","","6"
"Bacille de Koch","bacille","maladie","6","",""
"bacille de Koch","bacille","maladie","6","",""
"=botulism=","bacille","maladie","42","","6"
"tuberculosis","bacille","maladie","42","","6"
"=tuberculosis=","bacille","maladie","42","","6"
"=plague=","bacille","maladie","42","","6"
"=plague=","bacille","maladie","9","","6"
"typhode","bacille","maladie","42","","6"
"fièvre typhoïde","bacille","maladie","42","","6"
"maladie des légionnaires","bacille","maladie","42","","6"
"peste bubonique","bacille","maladie","42","","6"
"peste bubonique","bacille","maladie","9","","6"
"peste noire","bacille","maladie","42","","6"
"peste noire","bacille","maladie","9","","6"
"maladie du légionnaire","bacille","maladie","42","","6"
"peste","bacille","maladie","42","","6"
"peste","bacille","maladie","9","","6"
"botulisme","bacille","maladie","42","","6"
"chancre mou","bacille","maladie","42","","6"
"typhoïde","bacille","maladie","42","","6"
"salmonellose","bacille","maladie","42","","6"
"légionellose","bacille","maladie","42","","6"
"tétanos","bacille","maladie","42","","6"
"tuberculose","bacille","maladie","42","","6"
"faune","bacille","maladie","9","","9"
"mort","bacille","maladie","42","","42"
"mourir","bacille","maladie","13","","42"
"bacille","microorganisme","maladie","6","",""
"SIDA","microorganisme","maladie","6","","6"
"syndrome d'immunodéficience acquise","microorganisme","maladie","6","","6"
"sida","microorganisme","maladie","6","","6"
"bacille","bactérie","maladie","6","",""
"bacille","micro-organisme","maladie","6","",""
"SIDA","micro-organisme","maladie","6","","6"
