"nodeA","nodeB","nodeC","rel1","rel2","rel3"
"Augustin Louis Cauchy","scientifique","coeur","6","9","9"
"Augustin Louis Cauchy","mathématicien","coeur","6","9","9"
"Augustin Louis Cauchy","scientifique","jambes","6","9","9"
"Augustin Louis Cauchy","mathématicien","jambes","6","9","9"
"Augustin Louis Cauchy","scientifique","bouche","6","9","9"
"Augustin Louis Cauchy","mathématicien","bouche","6","9","9"
"Augustin Louis Cauchy","scientifique","ADN","6","9","9"
"Augustin Louis Cauchy","mathématicien","ADN","6","9","9"
"Augustin Louis Cauchy","scientifique","visage","6","9","9"
"Augustin Louis Cauchy","mathématicien","visage","6","9","9"
"Augustin Louis Cauchy","scientifique","tête","6","9","9"
"Augustin Louis Cauchy","mathématicien","tête","6","9","9"
"Augustin Louis Cauchy","scientifique","oeil","6","9","9"
"Augustin Louis Cauchy","mathématicien","oeil","6","9","9"
"Augustin Louis Cauchy","scientifique","cou","6","9","9"
"Augustin Louis Cauchy","mathématicien","cou","6","9","9"
"Augustin Louis Cauchy","scientifique","pied","6","9","9"
"Augustin Louis Cauchy","mathématicien","pied","6","9","9"
"Augustin Louis Cauchy","scientifique","jambe","6","9","9"
"Augustin Louis Cauchy","mathématicien","jambe","6","9","9"
"Augustin Louis Cauchy","scientifique","nez","6","9","9"
"Augustin Louis Cauchy","mathématicien","nez","6","9","9"
"Augustin Louis Cauchy","scientifique","yeux","6","9","9"
"Augustin Louis Cauchy","mathématicien","yeux","6","9","9"
"Augustin Louis Cauchy","scientifique","main","6","9","9"
"Augustin Louis Cauchy","mathématicien","main","6","9","9"
"Augustin Louis Cauchy","scientifique","bras","6","9","9"
"Augustin Louis Cauchy","mathématicien","bras","6","9","9"
"Augustin Louis Cauchy","scientifique","corps","6","9","9"
"Augustin Louis Cauchy","mathématicien","corps","6","9","9"
"Augustin Louis Cauchy","mathématicien","individu","6","6","6"
"Augustin Louis Cauchy","scientifique","individu","6","6","6"
"Augustin Louis Cauchy","mathématicien","être humain","6","6","6"
"Augustin Louis Cauchy","scientifique","être humain","6","6","6"
"Augustin Louis Cauchy","scientifique","être animé","6","6","6"
"Augustin Louis Cauchy","mathématicien","personne","6","6","6"
"Augustin Louis Cauchy","scientifique","personne","6","6","6"
"Augustin Louis Cauchy","mathématicien","être vivant","6","6","6"
"Augustin Louis Cauchy","scientifique","être vivant","6","6","6"
"Pierre-Simon Laplace","scientifique","ADN","6","9","9"
"Pierre-Simon Laplace","mathématicien","ADN","6","9","9"
"Pierre-Simon Laplace","scientifique","tête","6","9","9"
