term_1,relation_type,term_2,relation_type,term_2,donc,term_1,relation_type,term_2
fusée,42,astronomie,42,astres,donc,fusée,42,astres
"saison estivale",42,astronomie,42,astres,donc,"saison estivale",42,astres
astronome,42,astronomie,42,astres,donc,astronome,42,astres
astronaute,42,astronomie,42,astres,donc,astronaute,42,astres
observatoire,42,astronomie,42,astres,donc,observatoire,42,astres
télescope,42,astronomie,42,astres,donc,télescope,42,astres
astronome,42,Astronomie,42,astres,donc,astronome,42,astres
astronome,42,astronomie,42,astres,donc,astronome,42,astres
télescope,42,Astronomie,42,astres,donc,télescope,42,astres
télescope,42,astronomie,42,astres,donc,télescope,42,astres
astronome,42,Astronomie,42,astres,donc,astronome,42,astres
astronaute,42,Astronomie,42,astres,donc,astronaute,42,astres
observatoire,42,Astronomie,42,astres,donc,observatoire,42,astres
télescope,42,Astronomie,42,astres,donc,télescope,42,astres
"saison estivale",42,Astronomie,42,astres,donc,"saison estivale",42,astres
fusée,42,Astronomie,42,astres,donc,fusée,42,astres
fusée,42,astronomie,42,planètes,donc,fusée,42,planètes
"saison estivale",42,astronomie,42,planètes,donc,"saison estivale",42,planètes
astronome,42,astronomie,42,planètes,donc,astronome,42,planètes
astronaute,42,astronomie,42,planètes,donc,astronaute,42,planètes
observatoire,42,astronomie,42,planètes,donc,observatoire,42,planètes
télescope,42,astronomie,42,planètes,donc,télescope,42,planètes
astronome,42,Astronomie,42,planètes,donc,astronome,42,planètes
astronome,42,astronomie,42,planètes,donc,astronome,42,planètes
télescope,42,Astronomie,42,planètes,donc,télescope,42,planètes
télescope,42,astronomie,42,planètes,donc,télescope,42,planètes
astronome,42,Astronomie,42,planètes,donc,astronome,42,planètes
astronaute,42,Astronomie,42,planètes,donc,astronaute,42,planètes
observatoire,42,Astronomie,42,planètes,donc,observatoire,42,planètes
télescope,42,Astronomie,42,planètes,donc,télescope,42,planètes
"saison estivale",42,Astronomie,42,planètes,donc,"saison estivale",42,planètes
fusée,42,Astronomie,42,planètes,donc,fusée,42,planètes
fusée,42,astronomie,42,planète,donc,fusée,42,planète
"saison estivale",42,astronomie,42,planète,donc,"saison estivale",42,planète
astronome,42,astronomie,42,planète,donc,astronome,42,planète
astronaute,42,astronomie,42,planète,donc,astronaute,42,planète
observatoire,42,astronomie,42,planète,donc,observatoire,42,planète
télescope,42,astronomie,42,planète,donc,télescope,42,planète
astronome,42,Astronomie,42,planète,donc,astronome,42,planète
astronome,42,astronomie,42,planète,donc,astronome,42,planète
télescope,42,Astronomie,42,planète,donc,télescope,42,planète
télescope,42,astronomie,42,planète,donc,télescope,42,planète
astronome,42,Astronomie,42,planète,donc,astronome,42,planète
astronaute,42,Astronomie,42,planète,donc,astronaute,42,planète
observatoire,42,Astronomie,42,planète,donc,observatoire,42,planète
télescope,42,Astronomie,42,planète,donc,télescope,42,planète
"saison estivale",42,Astronomie,42,planète,donc,"saison estivale",42,planète
fusée,42,Astronomie,42,planète,donc,fusée,42,planète
fusée,42,astronomie,42,soleil,donc,fusée,42,soleil
"saison estivale",42,astronomie,42,soleil,donc,"saison estivale",42,soleil
astronome,42,astronomie,42,soleil,donc,astronome,42,soleil
