term_1,relation_type,term_2,relation_type,term_2,donc,term_1,relation_type,term_2
planète,15,astronomie,15,lycée,donc,planète,15,lycée
espace,15,planète,15,astronomie,donc,espace,15,astronomie
trompe,15,éléphant,15,savane,donc,trompe,15,savane
"pattes d'éléphant",15,éléphant,15,savane,donc,"pattes d'éléphant",15,savane
soldat,15,éléphant,15,savane,donc,soldat,15,savane
homme,15,éléphant,15,savane,donc,homme,15,savane
cornac,15,éléphant,15,savane,donc,cornac,15,savane
personne,15,éléphant,15,savane,donc,personne,15,savane
queue,15,éléphant,15,savane,donc,queue,15,savane
trompe,15,éléphant,15,zoo,donc,trompe,15,zoo
"pattes d'éléphant",15,éléphant,15,zoo,donc,"pattes d'éléphant",15,zoo
soldat,15,éléphant,15,zoo,donc,soldat,15,zoo
homme,15,éléphant,15,zoo,donc,homme,15,zoo
cornac,15,éléphant,15,zoo,donc,cornac,15,zoo
personne,15,éléphant,15,zoo,donc,personne,15,zoo
queue,15,éléphant,15,zoo,donc,queue,15,zoo
trompe,15,éléphant,15,Asie,donc,trompe,15,Asie
"pattes d'éléphant",15,éléphant,15,Asie,donc,"pattes d'éléphant",15,Asie
soldat,15,éléphant,15,Asie,donc,soldat,15,Asie
homme,15,éléphant,15,Asie,donc,homme,15,Asie
cornac,15,éléphant,15,Asie,donc,cornac,15,Asie
personne,15,éléphant,15,Asie,donc,personne,15,Asie
queue,15,éléphant,15,Asie,donc,queue,15,Asie
trompe,15,éléphant,15,Afrique,donc,trompe,15,Afrique
"pattes d'éléphant",15,éléphant,15,Afrique,donc,"pattes d'éléphant",15,Afrique
soldat,15,éléphant,15,Afrique,donc,soldat,15,Afrique
homme,15,éléphant,15,Afrique,donc,homme,15,Afrique
cornac,15,éléphant,15,Afrique,donc,cornac,15,Afrique
personne,15,éléphant,15,Afrique,donc,personne,15,Afrique
queue,15,éléphant,15,Afrique,donc,queue,15,Afrique
trompe,15,éléphant,15,cirque,donc,trompe,15,cirque
"pattes d'éléphant",15,éléphant,15,cirque,donc,"pattes d'éléphant",15,cirque
soldat,15,éléphant,15,cirque,donc,soldat,15,cirque
homme,15,éléphant,15,cirque,donc,homme,15,cirque
cornac,15,éléphant,15,cirque,donc,cornac,15,cirque
personne,15,éléphant,15,cirque,donc,personne,15,cirque
queue,15,éléphant,15,cirque,donc,queue,15,cirque
trompe,15,éléphant,15,brousse,donc,trompe,15,brousse
"pattes d'éléphant",15,éléphant,15,brousse,donc,"pattes d'éléphant",15,brousse
soldat,15,éléphant,15,brousse,donc,soldat,15,brousse
homme,15,éléphant,15,brousse,donc,homme,15,brousse
cornac,15,éléphant,15,brousse,donc,cornac,15,brousse
personne,15,éléphant,15,brousse,donc,personne,15,brousse
queue,15,éléphant,15,brousse,donc,queue,15,brousse
trompe,15,éléphant,15,"parc zoologique",donc,trompe,15,"parc zoologique"
"pattes d'éléphant",15,éléphant,15,"parc zoologique",donc,"pattes d'éléphant",15,"parc zoologique"
soldat,15,éléphant,15,"parc zoologique",donc,soldat,15,"parc zoologique"
homme,15,éléphant,15,"parc zoologique",donc,homme,15,"parc zoologique"
cornac,15,éléphant,15,"parc zoologique",donc,cornac,15,"parc zoologique"
personne,15,éléphant,15,"parc zoologique",donc,personne,15,"parc zoologique"
queue,15,éléphant,15,"parc zoologique",donc,queue,15,"parc zoologique"
trompe,15,éléphant,15,"magasin de porcelaine",donc,trompe,15,"magasin de porcelaine"
"pattes d'éléphant",15,éléphant,15,"magasin de porcelaine",donc,"pattes d'éléphant",15,"magasin de porcelaine"
soldat,15,éléphant,15,"magasin de porcelaine",donc,soldat,15,"magasin de porcelaine"
homme,15,éléphant,15,"magasin de porcelaine",donc,homme,15,"magasin de porcelaine"
cornac,15,éléphant,15,"magasin de porcelaine",donc,cornac,15,"magasin de porcelaine"
personne,15,éléphant,15,"magasin de porcelaine",donc,personne,15,"magasin de porcelaine"
queue,15,éléphant,15,"magasin de porcelaine",donc,queue,15,"magasin de porcelaine"
trompe,15,éléphant,15,jungle,donc,trompe,15,jungle
"pattes d'éléphant",15,éléphant,15,jungle,donc,"pattes d'éléphant",15,jungle
soldat,15,éléphant,15,jungle,donc,soldat,15,jungle
homme,15,éléphant,15,jungle,donc,homme,15,jungle
cornac,15,éléphant,15,jungle,donc,cornac,15,jungle
personne,15,éléphant,15,jungle,donc,personne,15,jungle
queue,15,éléphant,15,jungle,donc,queue,15,jungle
trompe,15,éléphant,15,forêt,donc,trompe,15,forêt
"pattes d'éléphant",15,éléphant,15,forêt,donc,"pattes d'éléphant",15,forêt
soldat,15,éléphant,15,forêt,donc,soldat,15,forêt
homme,15,éléphant,15,forêt,donc,homme,15,forêt
cornac,15,éléphant,15,forêt,donc,cornac,15,forêt
personne,15,éléphant,15,forêt,donc,personne,15,forêt
queue,15,éléphant,15,forêt,donc,queue,15,forêt
trompe,15,éléphant,15,élevage,donc,trompe,15,élevage
"pattes d'éléphant",15,éléphant,15,élevage,donc,"pattes d'éléphant",15,élevage
soldat,15,éléphant,15,élevage,donc,soldat,15,élevage
homme,15,éléphant,15,élevage,donc,homme,15,élevage
