"nodeA","nodeB","nodeC","rel1","rel2","rel3"
"Brian Edward Launder","physicien","vivant","6","17","17"
"Steve Keen","économiste","vivant","6","17","17"
"Alexis Bonnet","mathématicien","vivant","6","17","17"
"Michal Kunc","mathématicien","vivant","6","17","17"
"Michael Fekete","mathématicien","vivant","6","17","17"
"David Anthony Ham","mathématicien","vivant","6","17","17"
"Mikhail Mikhailovich Postnikov","mathématicien","vivant","6","17","17"
"Methanobacterium","biologie","vivant","6","42","17"
"Methanobacterium","vivant","biologie","17","","6"
"Joseph E. Stiglitz","économiste","vivant","6","17","17"
"Franco Brezzi","mathématicien","vivant","6","17","17"
"Stanley Joel Osher","mathématicien","vivant","6","17","17"
"Bernd Sturmfels","mathématicien","vivant","6","17","17"
"Jerrold Eldon Marsden","mathématicien","vivant","6","17","17"
"David Leigh Donoho","mathématicien","vivant","6","17","17"
"Persi Diaconis","mathématicien","vivant","6","17","17"
"Charles Samuel Peskin","mathématicien","vivant","6","17","17"
"Andrew Joseph Majda","mathématicien","vivant","6","17","17"
"Kurt Otto Friedrichs","mathématicien","vivant","6","17","17"
"Peter Karl Henrici","mathématicien","vivant","6","17","17"
"Solomon Lefschetz","mathématicien","vivant","6","17","17"
"Mark Kac","mathématicien","vivant","6","17","17"
"Ian Grant Macdonald","mathématicien","vivant","6","17","17"
"Gilbert de Beauregard Robinson","mathématicien","vivant","6","17","17"
"Alfred Young","mathématicien","vivant","6","17","17"
"Isaac Todhunter","mathématicien","vivant","6","17","17"
"Gilbert Labelle","mathématicien","vivant","6","17","17"
"Andries Evert Brouwer","mathématicien","vivant","6","17","17"
"Dambisa Felicia Moyo","économiste","vivant","6","17","17"
"Heinrich Eugen Waentig","économiste","vivant","6","17","17"
"Eugen Bejinariu","économiste","vivant","6","17","17"
"Peter Guthrie Tait","physicien","vivant","6","17","17"
"Cargill Gilston Knott","physicien","vivant","6","17","17"
"Didier Eribon","sociologue","vivant","6","17","17"
"Marston Morse","mathématicien","vivant","6","17","17"
"José de Echegaray y Eizaguirre","mathématicien","vivant","6","17","17"
"Isidore de Milet","mathématicien","vivant","6","17","17"
"Gustave Solomon","mathématicien","vivant","6","17","17"
"Abdelmajid Ennabli","archéologue","vivant","6","17","17"
"Nassau William Senior","économiste","vivant","6","17","17"
"Giovanni Alfonso Borelli","mathématicien","vivant","6","17","17"
"Pierre Lehmann","physicien","vivant","6","17","17"
"Mordehai Milgrom","physicien","vivant","6","17","17"
"Carl F. Gauss","mathématicien","vivant","6","17","17"
"Joseph-Louis Lagrange","mathématicien","vivant","6","17","17"
"Srinivasa Aïyengar Ramanujan","mathématicien","vivant","6","17","17"
"Leonardo Pisano Fibonacci","mathématicien","vivant","6","17","17"
"Karl Wilhelm Theodor Weierstrass","mathématicien","vivant","6","17","17"
"Brahmagupta Bhillamalacarya","mathématicien","vivant","6","17","17"
"Augustin Louis Cauchy","coeur","vivant","9","17","17"
"Augustin Louis Cauchy","jambes","vivant","9","17","17"
"Augustin Louis Cauchy","bouche","vivant","9","17","17"
"Augustin Louis Cauchy","visage","vivant","9","17","17"
"Augustin Louis Cauchy","tête","vivant","9","17","17"
