"nodeA","nodeB","nodeC","rel1","rel2","rel3"
"moteur","vivant","être humain","17","6","6"
"moteur","vivant","individu","17","6","6"
"moteur","vivant","être animé","17","6","6"
"moteur","vivant","personne","17","6","6"
"moteur","vivant","être vivant","17","6","6"
"moteur","vivant","acide désoxyribonucléique","17","9","9"
"moteur","vivant","cou","17","9","9"
"moteur","vivant","squelette","17","9","9"
"moteur","vivant","oeil","17","9","9"
"moteur","vivant","corps","17","9","9"
"moteur","vivant","main","17","9","9"
"moteur","vivant","nez","17","9","9"
"moteur","vivant","visage","17","9","9"
"moteur","vivant","coeur","17","9","9"
"moteur","vivant","bras","17","9","9"
"moteur","vivant","tête","17","9","9"
"moteur","vivant","jambe","17","9","9"
"moteur","vivant","sexe","17","9","9"
"moteur","vivant","ADN","17","9","9"
"moteur","vivant","adn","17","9","9"
"moteur","vivant","bouche","17","9","9"
"moteur","vivant","yeux","17","9","9"
"moteur","vivant","personne","17","9","6"
"moteur","vivant","pied","17","9","9"
"moteur","vivant","jambes","17","9","9"
"moteur","noyé","vivant","17","17","17"
"moteur","tiède","vivant","17","17","17"
"moteur","mort","vivant","17","17","17"
"moteur","chaud","vivant","17","17","17"
"moteur","nerveux","vivant","17","17","17"
"moteur","personne","vivant","6","17","17"
"moteur","personne","vivant","6","6","17"
"moteur","être vivant","vivant","6","17","17"
"moteur","individu","vivant","6","17","17"
"moteur","individu","vivant","6","6","17"
"moteur","lieu","vivant","6","17","17"
"moteur","être humain","vivant","6","17","17"
"moteur","être humain","vivant","6","6","17"
"moteur","arbre à cames","vivant","9","17","17"
"moteur","pointeau","vivant","9","17","17"
"moteur","bouche","vivant","9","17","17"
"moteur","vilebrequin","vivant","9","17","17"
"moteur","visage","vivant","9","17","17"
"moteur","tête","vivant","9","17","17"
"moteur","jambes","vivant","9","17","17"
"moteur","bras","vivant","9","17","17"
"moteur","coeur","vivant","9","17","17"
"moteur","squelette","vivant","9","17","17"
"moteur","corps","vivant","9","17","17"
